"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"17-May-2024","EQ","1,790.00","1,820.00","1,777.25","1,777.70","1,819.00","1,813.65","1,799.03","1,820.00","1,232.85","12,17,585","2,19,04,71,029.75","57,678"
"16-May-2024","EQ","1,756.00","1,785.00","1,752.20","1,754.15","1,776.90","1,777.70","1,766.71","1,785.00","1,232.85","11,34,916","2,00,50,66,371.85","37,884"
"15-May-2024","EQ","1,740.00","1,757.20","1,730.00","1,729.10","1,753.00","1,754.15","1,743.14","1,757.20","1,232.85","10,43,231","1,81,84,92,590.85","45,301"
"14-May-2024","EQ","1,703.00","1,744.45","1,703.00","1,702.40","1,730.00","1,729.10","1,727.97","1,744.45","1,232.85","19,80,463","3,42,21,85,857.50","89,800"
"13-May-2024","EQ","1,689.85","1,714.90","1,675.60","1,686.75","1,705.25","1,702.40","1,698.35","1,714.90","1,232.85","15,39,023","2,61,38,05,540.50","71,371"
"10-May-2024","EQ","1,675.00","1,695.00","1,661.20","1,673.55","1,689.85","1,686.75","1,686.99","1,706.85","1,227.50","8,02,843","1,35,43,87,107.25","33,323"
"09-May-2024","EQ","1,692.00","1,705.00","1,665.75","1,691.15","1,668.35","1,673.55","1,684.02","1,706.85","1,227.50","13,04,325","2,19,65,11,264.30","41,693"
"08-May-2024","EQ","1,670.95","1,699.00","1,656.20","1,672.95","1,692.00","1,691.15","1,689.06","1,706.85","1,227.50","14,20,666","2,39,95,94,157.50","55,858"
"07-May-2024","EQ","1,678.00","1,703.00","1,662.00","1,675.20","1,671.05","1,672.95","1,681.13","1,706.85","1,227.50","17,02,335","2,86,18,45,946.25","71,593"
"06-May-2024","EQ","1,669.95","1,694.00","1,666.70","1,663.55","1,675.00","1,675.20","1,682.14","1,706.85","1,227.50","13,72,662","2,30,90,10,321.70","55,658"
"03-May-2024","EQ","1,678.05","1,699.75","1,648.55","1,667.65","1,670.00","1,663.55","1,673.16","1,706.85","1,211.85","17,70,873","2,96,29,46,439.40","81,907"
"02-May-2024","EQ","1,686.00","1,706.85","1,650.05","1,664.00","1,667.00","1,667.65","1,677.35","1,706.85","1,211.85","29,85,962","5,00,84,96,843.55","1,19,865"
"30-Apr-2024","EQ","1,625.50","1,688.00","1,625.50","1,644.45","1,666.15","1,664.00","1,672.59","1,688.00","1,211.85","25,11,176","4,20,01,72,206.80","76,393"
"29-Apr-2024","EQ","1,656.50","1,660.50","1,631.45","1,640.05","1,640.95","1,644.45","1,645.59","1,660.50","1,211.85","11,15,405","1,83,55,00,901.35","53,175"
"26-Apr-2024","EQ","1,568.70","1,652.70","1,568.25","1,560.60","1,643.10","1,640.05","1,624.33","1,652.70","1,193.20","41,66,048","6,76,70,23,831.80","1,42,865"
"25-Apr-2024","EQ","1,569.00","1,574.90","1,553.20","1,568.10","1,557.60","1,560.60","1,560.41","1,591.35","1,193.20","10,76,657","1,68,00,31,275.80","33,579"
"24-Apr-2024","EQ","1,547.95","1,578.90","1,547.90","1,547.95","1,569.00","1,568.10","1,567.11","1,591.35","1,193.20","12,14,213","1,90,28,07,301.80","68,582"
"23-Apr-2024","EQ","1,553.85","1,561.80","1,540.00","1,550.75","1,547.00","1,547.95","1,551.14","1,591.35","1,193.20","9,66,466","1,49,91,21,272.05","47,400"
"22-Apr-2024","EQ","1,517.05","1,563.60","1,507.00","1,501.70","1,550.00","1,550.75","1,542.34","1,591.35","1,193.20","15,67,505","2,41,76,20,637.35","63,091"
"19-Apr-2024","EQ","1,472.25","1,516.20","1,453.95","1,493.70","1,496.15","1,501.70","1,489.64","1,591.35","1,175.70","6,28,014","93,55,13,579.30","44,101"
"18-Apr-2024","EQ","1,500.00","1,530.00","1,485.95","1,482.00","1,501.00","1,493.70","1,509.16","1,591.35","1,175.70","11,82,191","1,78,41,11,799.45","59,715"
"16-Apr-2024","EQ","1,497.00","1,506.00","1,473.45","1,501.60","1,487.50","1,482.00","1,488.54","1,591.35","1,175.70","15,21,805","2,26,52,71,124.40","48,263"
"15-Apr-2024","EQ","1,490.00","1,519.00","1,476.00","1,510.65","1,504.30","1,501.60","1,504.08","1,591.35","1,175.70","9,00,584","1,35,45,48,627.60","49,821"
"12-Apr-2024","EQ","1,500.60","1,537.55","1,488.35","1,501.30","1,509.60","1,510.65","1,517.54","1,591.35","1,158.15","14,66,807","2,22,59,35,102.05","57,101"
"10-Apr-2024","EQ","1,516.00","1,520.00","1,495.50","1,512.70","1,497.00","1,501.30","1,508.73","1,591.35","1,158.15","13,84,698","2,08,91,31,783.25","33,799"
"09-Apr-2024","EQ","1,534.00","1,537.20","1,506.90","1,530.15","1,514.00","1,512.70","1,521.80","1,591.35","1,158.15","10,62,855","1,61,74,55,143.00","28,526"
"08-Apr-2024","EQ","1,563.00","1,582.00","1,525.95","1,550.10","1,533.90","1,530.15","1,558.26","1,591.35","1,158.15","18,51,259","2,88,47,40,072.55","84,687"
"05-Apr-2024","EQ","1,539.00","1,553.00","1,532.35","1,538.75","1,552.00","1,550.10","1,542.84","1,591.35","1,158.15","7,86,786","1,21,38,82,964.10","30,764"
"04-Apr-2024","EQ","1,559.90","1,559.95","1,532.60","1,550.55","1,541.90","1,538.75","1,542.75","1,591.35","1,158.15","7,97,587","1,23,04,74,788.40","33,356"
"03-Apr-2024","EQ","1,550.00","1,561.90","1,522.00","1,544.15","1,548.15","1,550.55","1,548.37","1,591.35","1,158.15","11,32,164","1,75,30,08,090.00","48,499"
