Date,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52WH,52WL,VOLUME,VALUE,No of trades
17-Jan-24,EQ,"1,044.95","1,065.00","1,044.00","1,053.10","1,057.80","1,057.20","1,055.65","1,219.00",525.35,"1,38,468","14,61,74,047.20","14,633"
16-Jan-24,EQ,"1,072.50","1,087.70","1,032.20","1,068.05","1,036.00","1,053.10","1,061.61","1,219.00",525.35,"2,14,096","22,72,85,987.95","21,982"
15-Jan-24,EQ,"1,067.90","1,097.40","1,062.20","1,054.30","1,065.00","1,068.05","1,075.18","1,219.00",525.35,"3,18,028","34,19,36,891.60","27,793"
12-Jan-24,EQ,"1,055.00","1,078.30","1,048.95","1,045.75","1,060.00","1,054.30","1,063.79","1,219.00",524.75,"2,56,639","27,30,09,970.80","24,598"
11-Jan-24,EQ,"1,037.00","1,064.45","1,031.00","1,041.85","1,044.70","1,045.75","1,042.78","1,219.00",524.75,"3,04,479","31,75,03,870.85","19,345"
10-Jan-24,EQ,"1,040.00","1,044.45","1,025.10","1,036.40","1,030.50","1,041.85","1,034.50","1,219.00",524.75,"2,38,436","24,66,61,684.95","12,134"
09-Jan-24,EQ,"1,033.10","1,040.25","1,021.05","1,032.35","1,039.80","1,036.40","1,030.61","1,219.00",524.75,"1,45,044","14,94,83,768.95","12,937"
08-Jan-24,EQ,"1,042.00","1,050.00","1,027.05","1,044.15","1,031.00","1,032.35","1,033.65","1,219.00",524.75,"1,07,095","11,06,99,143.80","10,852"
05-Jan-24,EQ,"1,040.90","1,048.00","1,029.85","1,028.75","1,042.00","1,044.15","1,039.98","1,219.00",524.75,"1,67,885","17,45,96,927.00","13,212"
04-Jan-24,EQ,"1,045.95","1,051.00","1,025.00","1,040.35","1,032.00","1,028.75","1,037.51","1,219.00",524.75,"1,64,434","17,06,01,575.90","9,982"
03-Jan-24,EQ,"1,047.00","1,054.00","1,026.60","1,041.30","1,036.00","1,040.35","1,040.76","1,219.00",524.75,"1,42,552","14,83,62,089.10","11,095"
02-Jan-24,EQ,"1,055.00","1,055.00","1,039.00","1,051.60","1,044.50","1,041.30","1,044.73","1,219.00",524.75,"1,98,769","20,76,60,651.90","12,334"
01-Jan-24,EQ,"1,055.00","1,087.90","1,048.05","1,069.15","1,054.00","1,051.60","1,064.41","1,219.00",524.75,"2,51,346","26,75,34,081.50","17,714"
29-Dec-23,EQ,"1,055.00","1,071.00","1,045.00","1,061.00","1,070.00","1,069.15","1,059.61","1,219.00",496.5,"3,32,110","35,19,07,929.85","13,611"
28-Dec-23,EQ,"1,071.65","1,078.00","1,044.00","1,065.75","1,054.00","1,061.00","1,064.77","1,219.00",496.5,"2,06,051","21,93,96,655.85","16,604"
27-Dec-23,EQ,"1,076.20","1,076.20","1,050.00","1,064.00","1,073.35","1,065.75","1,062.31","1,219.00",496.5,"1,71,189","18,18,55,291.65","13,026"
26-Dec-23,EQ,"1,062.45","1,071.20","1,040.00","1,053.55","1,065.00","1,064.00","1,054.29","1,219.00",496.5,"2,08,243","21,95,49,032.10","14,832"
22-Dec-23,EQ,"1,061.50","1,079.00","1,040.00","1,053.80","1,054.00","1,053.55","1,060.20","1,219.00",491.15,"1,66,378","17,63,93,509.65","14,938"
21-Dec-23,EQ,"1,050.00","1,074.15","1,020.10","1,067.80","1,055.90","1,053.80","1,051.91","1,219.00",491.15,"3,32,005","34,92,40,904.05","24,925"
20-Dec-23,EQ,"1,139.00","1,141.65","1,040.00","1,133.45","1,060.80","1,067.80","1,095.96","1,219.00",491.15,"5,45,833","59,82,08,608.70","27,876"
19-Dec-23,EQ,"1,150.00","1,151.15","1,128.00","1,144.10","1,135.00","1,133.45","1,137.28","1,219.00",491.15,"2,26,455","25,75,41,651.45","16,021"
18-Dec-23,EQ,"1,127.00","1,157.95","1,111.00","1,125.60","1,144.90","1,144.10","1,141.65","1,219.00",491.15,"3,78,315","43,19,04,097.70","20,276"
